frame,current_count,total_unique
1734,16,43
1735,18,44
1736,17,44
1737,18,44
1738,18,44
1739,18,44
1740,18,44
1741,19,45
1742,19,45
1743,18,45
1744,18,45
1745,18,45
1746,19,45
1747,19,45
1748,19,45
1749,18,45
1750,18,45
1751,19,45
1752,18,45
1753,19,45
1754,18,45
1755,18,45
1756,19,45
1757,19,45
1758,19,45
1759,17,45
1760,19,46
1761,18,46
1762,18,46
1763,18,46
1764,19,46
1765,18,46
1766,18,46
1767,18,46
1768,17,46
1769,18,46
1770,17,46
1771,17,46
1772,17,46
1773,17,46
1774,17,46
1775,17,46
1776,17,46
1777,17,46
1778,17,46
1779,17,46
1780,17,46
1781,18,47
1782,18,47
1783,18,47
1784,18,47
1785,18,47
1786,18,47
1787,17,47
1788,17,47
1789,17,48
1790,18,48
1791,18,49
1792,18,49
1793,17,49
1794,18,49
1795,18,49
1796,17,49
1797,17,49
1798,18,49
1799,18,49
1800,18,49
1801,18,49
1802,17,49
1803,19,50
1804,20,50
1805,19,50
1806,18,50
1807,19,50
1808,17,50
1809,19,50
1810,19,50
1811,19,50
1812,19,50
1813,19,50
1814,19,50
1815,19,50
1816,19,50
1817,19,50
1818,19,50
1819,19,50
1820,20,50
1821,18,50
1822,18,50
1823,19,50
1824,18,50
1825,18,50
1826,18,50
1827,18,50
1828,19,50
1829,19,50
1830,18,50
1831,18,50
1832,18,50
1833,18,50
1834,18,50
1835,19,50
1836,18,50
1837,17,50
1838,18,50
1839,17,50
1840,17,50
1841,17,50
1842,17,50
1843,17,50
1844,18,50
1845,19,50
1846,19,50
1847,18,50
1848,19,50
1849,18,50
1850,17,50
1851,18,50
1852,18,50
1853,18,50
1854,18,50
1855,18,50
1856,18,50
1857,16,50
1858,16,50
1859,17,50
1860,17,50
1861,18,50
1862,18,50
1863,17,50
1864,17,50
1865,17,50
1866,17,50
1867,16,50
1868,16,50
1869,16,50
1870,16,50
1871,16,50
1872,16,50
1873,16,50
1874,17,50
1875,17,50
1876,17,50
1877,17,50
1878,15,50
1879,15,50
1880,15,50
1881,15,50
1882,15,50
1883,14,50
1884,13,50
1885,13,50
1886,14,50
1887,13,50
1888,14,50
1889,14,50
1890,14,50
1891,15,50
1892,15,51
1893,15,51
1894,15,51
1895,15,51
1896,15,51
1897,15,51
1898,14,51
1899,14,51
1900,16,51
1901,14,51
1902,14,51
1903,15,51
1904,14,51
1905,16,51
1906,15,51
1907,14,51
1908,14,51
1909,15,51
1910,15,51
1911,15,51
1912,15,51
1913,15,51
1914,15,51
1915,15,51
1916,15,51
1917,15,51
1918,15,51
1919,15,51
1920,15,51
1921,16,52
1922,16,52
1923,16,52
1924,16,52
1925,16,53
1926,16,53
1927,16,53
1928,15,53
1929,15,53
1930,14,53
1931,16,54
1932,17,54
1933,18,55
1934,16,55
1935,16,55
1936,16,55
1937,16,55
1938,16,55
1939,16,55
1940,16,55
1941,16,55
1942,16,55
1943,16,55
1944,17,56
1945,17,56
1946,16,56
1947,16,56
1948,16,56
1949,16,56
1950,17,57
1951,17,57
1952,17,57
1953,17,57
1954,16,57
1955,16,57
1956,15,57
1957,16,57
1958,16,57
1959,16,57
1960,16,57
1961,16,57
1962,15,57
1963,14,57
1964,14,57
1965,14,57
1966,14,57
1967,14,57
1968,14,57
1969,14,58
1970,14,58
1971,14,58
1972,15,59
1973,15,59
1974,15,59
1975,15,59
1976,15,59
1977,15,59
1978,15,60
1979,15,60
1980,16,61
1981,16,61
1982,16,61
1983,16,61
1984,17,62
1985,17,62
1986,15,62
1987,15,62
1988,16,62
1989,17,62
1990,15,62
1991,15,62
1992,17,62
1993,16,62
1994,16,63
1995,16,63
1996,16,63
1997,15,63
1998,15,63
1999,16,64
2000,15,64
2001,16,65
2002,17,65
2003,16,65
2004,16,65
2005,16,65
2006,17,65
2007,17,65
2008,17,66
2009,17,66
2010,17,66
2011,18,66
2012,17,66
2013,16,66
2014,17,66
2015,17,67
2016,17,67
2017,17,67
2018,17,67
2019,17,67
2020,16,67
2021,16,67
2022,16,67
2023,16,67
2024,16,67
2025,16,67
2026,16,68
2027,15,68
2028,15,68
2029,15,68
2030,15,68
2031,15,68
2032,15,68
2033,15,68
2034,15,68
2035,15,68
2036,15,68
2037,15,68
2038,14,68
2039,14,68
2040,15,69
2041,16,69
2042,17,70
2043,17,71
2044,19,71
2045,18,71
2046,18,71
2047,18,71
2048,18,71
2049,16,71
2050,17,71
2051,17,72
2052,16,72
2053,16,72
2054,17,72
2055,15,72
2056,17,72
2057,17,72
2058,20,74
2059,18,74
2060,17,74
2061,16,74
2062,16,74
2063,16,74
2064,16,74
2065,15,75
2066,16,75
2067,15,75
2068,17,76
2069,17,76
2070,17,76
2071,17,76
2072,17,76
2073,17,76
2074,18,77
2075,18,77
2076,18,77
2077,18,77
2078,18,77
2079,18,77
2080,18,77
2081,16,77
2082,17,78
2083,17,78
2084,17,78
2085,17,79
2086,17,79
2087,16,79
2088,17,80
2089,17,80
2090,17,80
2091,16,80
2092,14,80
2093,16,81
2094,16,81
2095,16,81
2096,16,81
2097,15,81
2098,16,82
2099,17,82
2100,16,82
2101,15,82
2102,16,82
2103,16,82
2104,16,82
2105,16,82
2106,16,82
2107,16,82
2108,16,82
2109,18,82
2110,17,82
2111,17,82
2112,17,82
2113,17,82
2114,17,82
2115,16,82
2116,17,83
2117,15,83
2118,14,83
2119,14,83
2120,15,83
2121,17,83
2122,16,83
2123,15,83
2124,15,83
2125,16,83
2126,16,84
2127,15,84
2128,16,84
2129,17,84
2130,16,84
2131,16,84
2132,16,84
2133,16,84
